cve_scenario|num_year|pct_rate
1|1|0.04509729
1|2|0.052953038
1|3|0.053605761
1|4|0.042994455
1|5|0.049047093
1|6|0.049515218
1|7|0.056546545
1|8|0.077717011
1|9|0.076315989
1|10|0.101604532
1|11|0.102882233
1|12|0.10008842
1|13|0.10286648
1|14|0.10505613
1|15|0.096340926
1|16|0.089772098
1|17|0.101234064
1|18|0.101628672
1|19|0.113898711
1|20|0.101823904
1|21|0.09692736
1|22|0.09522818
1|23|0.098450725
1|24|0.095041906
1|25|0.077042331
1|26|0.064531793
1|27|0.041319223
1|28|0.059064305
1|29|0.056638029
1|30|0.055728508
2|1|0.04509729
2|2|0.045050265
2|3|0.035545376
2|4|0.03739725
2|5|0.046330547
2|6|0.068829281
2|7|0.069443471
2|8|0.076800536
2|9|0.068313456
2|10|0.095486689
2|11|0.146583729
2|12|0.158965285
2|13|0.114135137
2|14|0.101885836
2|15|0.095782912
2|16|0.083662262
2|17|0.080745289
2|18|0.08293161
2|19|0.094966563
2|20|0.098774602
2|21|0.095925281
2|22|0.107495245
2|23|0.107975181
2|24|0.098028393
2|25|0.095798614
2|26|0.095771398
2|27|0.100566748
2|28|0.09374261
2|29|0.091421074
2|30|0.09007068
3|1|0.04509729
3|2|0.043981237
3|3|0.050409761
3|4|0.046254854
3|5|0.0437299
3|6|0.046785789
3|7|0.052578532
3|8|0.057152056
3|9|0.061321312
3|10|0.060288268
3|11|0.054943654
3|12|0.052950986
3|13|0.05326398
3|14|0.060228546
3|15|0.058199001
3|16|0.047371098
3|17|0.036981732
3|18|0.043787112
3|19|0.039644317
3|20|0.053242428
3|21|0.061161636
3|22|0.069581016
3|23|0.071577964
3|24|0.067812223
3|25|0.057928474
3|26|0.065009552
3|27|0.091034565
3|28|0.083397866
3|29|0.077315292
3|30|0.082430079
4|1|0.04509729
4|2|0.043680862
4|3|0.046846154
4|4|0.048227869
4|5|0.053837752
4|6|0.06286615
4|7|0.067223294
4|8|0.070644444
4|9|0.066079998
4|10|0.065887959
4|11|0.061466576
4|12|0.064868174
4|13|0.069313174
4|14|0.064429651
4|15|0.057781395
4|16|0.057617872
4|17|0.055870306
4|18|0.072072833
4|19|0.073041159
4|20|0.065814659
4|21|0.057560283
4|22|0.074222384
4|23|0.076488214
4|24|0.074865077
4|25|0.085114931
4|26|0.091867211
4|27|0.085585825
4|28|0.074405843
4|29|0.060005119
4|30|0.066894805
5|1|0.04509729
5|2|0.039675926
5|3|0.0458887
5|4|0.052162037
5|5|0.05845516
5|6|0.050431284
5|7|0.049583858
5|8|0.067806022
5|9|0.065822918
5|10|0.063957179
5|11|0.066979505
5|12|0.058500428
5|13|0.061038024
5|14|0.080397055
5|15|0.05225333
5|16|0.064252204
5|17|0.071887502
5|18|0.070409575
5|19|0.050100266
5|20|0.054531825
5|21|0.046418519
5|22|0.047131634
5|23|0.039879865
5|24|0.048632321
5|25|0.052190758
5|26|0.051330318
5|27|0.06206628
5|28|0.072840208
5|29|0.081386811
5|30|0.099926903
6|1|0.04509729
6|2|0.045171919
6|3|0.045925517
6|4|0.0544086
6|5|0.05136518
6|6|0.051270849
6|7|0.057701175
6|8|0.062657908
6|9|0.07703818
6|10|0.063791117
6|11|0.069168408
6|12|0.084558741
6|13|0.07725613
6|14|0.083151196
6|15|0.081886019
6|16|0.079056617
6|17|0.072589564
6|18|0.073108492
6|19|0.072981079
6|20|0.067716123
6|21|0.059650978
6|22|0.071462028
6|23|0.066506468
6|24|0.059413201
6|25|0.058692829
6|26|0.0546643
6|27|0.06393655
6|28|0.068524319
6|29|0.068256609
6|30|0.066012885
7|1|0.04509729
7|2|0.046769419
7|3|0.057585992
7|4|0.0576261
7|5|0.066217326
7|6|0.072856781
7|7|0.061381065
7|8|0.05386547
7|9|0.048101942
7|10|0.046887081
7|11|0.03887362
7|12|0.034846391
7|13|0.050166875
7|14|0.046391922
7|15|0.046389877
7|16|0.049738562
7|17|0.05027038
7|18|0.062616674
7|19|0.067856657
7|20|0.071725999
7|21|0.069945088
7|22|0.065772331
7|23|0.078109461
7|24|0.082266743
7|25|0.087674826
7|26|0.09198529
7|27|0.089929736
7|28|0.081245389
7|29|0.065286144
7|30|0.08473579
8|1|0.04509729
8|2|0.044220341
8|3|0.035385617
8|4|0.028449516
8|5|0.022029001
8|6|0.024820128
8|7|0.037632543
8|8|0.039779932
8|9|0.040012436
8|10|0.035345933
8|11|0.041538631
8|12|0.04959103
8|13|0.055875443
8|14|0.052369248
8|15|0.043168079
8|16|0.039926774
8|17|0.033206179
8|18|0.031293057
8|19|0.035018318
8|20|0.03555657
8|21|0.02953593
8|22|0.025107651
8|23|0.023742275
8|24|0.023725075
8|25|0.027760026
8|26|0.030380301
8|27|0.028067226
8|28|0.031759236
8|29|0.029531872
8|30|0.027256237
9|1|0.04509729
9|2|0.061862238
9|3|0.056051163
9|4|0.05213947
9|5|0.065480193
9|6|0.060083367
9|7|0.059037548
9|8|0.062692957
9|9|0.055456241
9|10|0.053932199
9|11|0.063265167
9|12|0.045579871
9|13|0.045186232
9|14|0.034155777
9|15|0.03051531
9|16|0.040004278
9|17|0.037751727
9|18|0.0447896
9|19|0.049177174
9|20|0.061073047
9|21|0.069659617
9|22|0.068471602
9|23|0.05235899
9|24|0.044726228
9|25|0.042177599
9|26|0.036026765
9|27|0.042040806
9|28|0.041976497
9|29|0.048592384
9|30|0.045076844
10|1|0.04509729
10|2|0.046680409
10|3|0.043598114
10|4|0.050235536
10|5|0.063094003
10|6|0.059843483
10|7|0.065738264
10|8|0.06091854
10|9|0.060046302
10|10|0.054486642
10|11|0.049367701
10|12|0.055954567
10|13|0.036514375
10|14|0.042115326
10|15|0.037706905
10|16|0.045608503
10|17|0.044417571
10|18|0.049939387
10|19|0.061782894
10|20|0.064364654
10|21|0.054426057
10|22|0.054677651
10|23|0.05776494
10|24|0.06151912
10|25|0.062842438
10|26|0.082962829
10|27|0.090245046
10|28|0.094367054
10|29|0.096315797
10|30|0.113126282
11|1|0.04509729
11|2|0.05575625
11|3|0.036108195
11|4|0.033160438
11|5|0.06094326
11|6|0.124657069
11|7|0.129913725
11|8|0.138063307
11|9|0.118897471
11|10|0.119212711
11|11|0.108877446
11|12|0.119938568
11|13|0.120392612
11|14|0.115363052
11|15|0.094159932
11|16|0.094209096
11|17|0.079385934
11|18|0.095271089
11|19|0.11205883
11|20|0.10627167
11|21|0.090681543
11|22|0.081192358
11|23|0.055054584
11|24|0.042931138
11|25|0.032530338
11|26|0.042564545
11|27|0.036842227
11|28|0.036407478
11|29|0.044565762
11|30|0.053438456
12|1|0.04509729
12|2|0.057432768
12|3|0.077215652
12|4|0.076524528
12|5|0.075039259
12|6|0.080707864
12|7|0.073779867
12|8|0.077774109
12|9|0.08566397
12|10|0.086261091
12|11|0.085879665
12|12|0.082853563
12|13|0.084486884
12|14|0.085592077
12|15|0.082591347
12|16|0.079607239
12|17|0.104699796
12|18|0.085524353
12|19|0.06644244
12|20|0.058273068
12|21|0.063124935
12|22|0.067968264
12|23|0.054720784
12|24|0.046624141
12|25|0.071186705
12|26|0.06092678
12|27|0.060055568
12|28|0.058983007
12|29|0.056626722
12|30|0.061957043
13|1|0.04509729
13|2|0.050700851
13|3|0.048065086
13|4|0.058634181
13|5|0.055713095
13|6|0.05008182
13|7|0.058641383
13|8|0.049517267
13|9|0.048705028
13|10|0.0601019
13|11|0.072794635
13|12|0.070367157
13|13|0.065330526
13|14|0.069079485
13|15|0.069925434
13|16|0.066503369
13|17|0.061041115
13|18|0.067203666
13|19|0.057120183
13|20|0.049221219
13|21|0.048199202
13|22|0.044884662
13|23|0.038572963
13|24|0.02518055
13|25|0.029297499
13|26|0.030379286
13|27|0.03367279
13|28|0.036107177
13|29|0.038044115
13|30|0.04101107
14|1|0.04509729
14|2|0.046668133
14|3|0.040458141
14|4|0.033303762
14|5|0.03467753
14|6|0.038609651
14|7|0.058987123
14|8|0.067973431
14|9|0.070357846
14|10|0.074673286
14|11|0.059776568
14|12|0.055136758
14|13|0.06237135
14|14|0.065730005
14|15|0.063412626
14|16|0.060074101
14|17|0.061013303
14|18|0.045429564
14|19|0.048105013
14|20|0.046056427
14|21|0.044428813
14|22|0.056833345
14|23|0.065138555
14|24|0.073523932
14|25|0.091930952
14|26|0.094904826
14|27|0.084219264
14|28|0.082337486
14|29|0.096573386
14|30|0.077420126
15|1|0.04509729
15|2|0.048899609
15|3|0.054870731
15|4|0.054176546
15|5|0.050978655
15|6|0.047324022
15|7|0.056482817
15|8|0.051459516
15|9|0.050792082
15|10|0.0613584
15|11|0.05835331
15|12|0.055203527
15|13|0.057000919
15|14|0.049054263
15|15|0.047631061
15|16|0.051643072
15|17|0.056442732
15|18|0.051918948
15|19|0.062666154
15|20|0.060974161
15|21|0.056727461
15|22|0.050138181
15|23|0.056282396
15|24|0.034157811
15|25|0.027509637
15|26|0.02617913
15|27|0.030636116
15|28|0.035722449
15|29|0.040537705
15|30|0.060302684
16|1|0.04509729
16|2|0.05924029
16|3|0.055378164
16|4|0.036758732
16|5|0.026837689
16|6|0.032695975
16|7|0.035076308
16|8|0.031028021
16|9|0.038405836
16|10|0.037469566
16|11|0.039774834
16|12|0.038947008
16|13|0.06091648
16|14|0.061605667
16|15|0.060100871
16|16|0.066116136
16|17|0.069687542
16|18|0.066099615
16|19|0.065429615
16|20|0.065349105
16|21|0.063314662
16|22|0.057090366
16|23|0.064311007
16|24|0.057990188
16|25|0.052831958
16|26|0.057577765
16|27|0.065606128
16|28|0.075589892
16|29|0.081797609
16|30|0.081442966
17|1|0.04509729
17|2|0.05010129
17|3|0.053771027
17|4|0.057273385
17|5|0.053719701
17|6|0.074375783
17|7|0.08091163
17|8|0.088979906
17|9|0.087101298
17|10|0.080900193
17|11|0.085400372
17|12|0.08371223
17|13|0.073361269
17|14|0.0816104
17|15|0.080121626
17|16|0.079070121
17|17|0.080163197
17|18|0.072734561
17|19|0.066711988
17|20|0.061473788
17|21|0.05604397
17|22|0.055781938
17|23|0.060376825
17|24|0.065299562
17|25|0.052147676
17|26|0.043252853
17|27|0.037061163
17|28|0.038193891
17|29|0.042003037
17|30|0.06093914
18|1|0.04509729
18|2|0.041211058
18|3|0.030769112
18|4|0.034126286
18|5|0.027914127
18|6|0.026489133
18|7|0.024862646
18|8|0.023481247
18|9|0.029246772
18|10|0.027144751
18|11|0.031134641
18|12|0.035363231
18|13|0.036537791
18|14|0.036439037
18|15|0.029911389
18|16|0.027445777
18|17|0.028942439
18|18|0.029296484
18|19|0.02476445
18|20|0.025451921
18|21|0.021371986
18|22|0.019907099
18|23|0.021578165
18|24|0.024002325
18|25|0.02819093
18|26|0.030165116
18|27|0.028291318
18|28|0.039912497
18|29|0.04060809
18|30|0.037056071
19|1|0.04509729
19|2|0.046128022
19|3|0.050227338
19|4|0.044816176
19|5|0.04293318
19|6|0.037969741
19|7|0.04435932
19|8|0.051576415
19|9|0.074279389
19|10|0.082587185
19|11|0.075898972
19|12|0.070165422
19|13|0.073025621
19|14|0.089113483
19|15|0.067250154
19|16|0.066665512
19|17|0.066684102
19|18|0.068582207
19|19|0.064697913
19|20|0.072273712
19|21|0.062996054
19|22|0.05178562
19|23|0.050436408
19|24|0.052749873
19|25|0.060074101
19|26|0.058528207
19|27|0.066191512
19|28|0.084672259
19|29|0.074169526
19|30|0.077711821
20|1|0.04509729
20|2|0.042087764
20|3|0.042336861
20|4|0.047536898
20|5|0.055621652
20|6|0.060086456
20|7|0.055648365
20|8|0.052906863
20|9|0.046123931
20|10|0.042191891
20|11|0.039931873
20|12|0.036643677
20|13|0.034294085
20|14|0.04041122
20|15|0.036202862
20|16|0.041905044
